model	topk	category	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
xglm-7.5B	163	activation	124	39	23	24	39	53	38	39	46	37	51	58	62	59	59	64	61	48	68	58	55	49	37	40	29	18	21	17	14	24	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	819	activation	538	201	140	182	225	277	247	259	242	226	265	321	301	310	324	349	326	312	303	290	290	242	229	186	168	131	126	140	131	147	182	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	1638	activation	914	541	430	504	597	708	659	642	633	577	615	735	737	725	761	788	739	736	719	646	647	588	571	499	430	382	364	351	384	435	450	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	2457	activation	1328	977	892	944	1084	1214	1200	1186	1176	1023	1096	1239	1230	1225	1247	1286	1203	1214	1185	1115	1050	981	953	899	769	738	681	688	704	802	818	1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	3276	activation	1809	1505	1405	1503	1655	1831	1779	1830	1790	1629	1635	1803	1798	1755	1827	1857	1740	1746	1673	1625	1543	1469	1394	1346	1180	1187	1091	1091	1137	1258	1282	1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	8192	activation	5505	5641	5618	6006	6156	6390	6202	6239	6129	5885	5646	5638	5778	5748	5759	5818	5630	5584	5502	5445	5314	5321	5194	5163	4956	4924	4862	4860	4868	5006	5123	5427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	163	expectation	118	39	33	42	42	54	33	38	42	46	58	61	60	64	61	57	49	46	53	47	47	45	41	29	25	24	20	19	19	33	41	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	819	expectation	510	157	115	166	212	253	221	229	222	233	258	309	292	325	312	323	249	298	251	261	265	208	199	169	142	128	129	143	147	138	200	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	1638	expectation	973	425	328	442	531	643	574	580	553	570	594	704	689	695	705	744	636	678	617	599	587	499	480	435	384	342	346	361	390	384	467	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	2457	expectation	1452	827	708	830	965	1114	1053	1064	1046	968	1055	1171	1168	1149	1162	1215	1058	1150	1049	1008	965	874	830	791	686	682	639	666	707	700	836	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	3276	expectation	2056	1319	1173	1333	1469	1673	1613	1635	1624	1537	1555	1726	1705	1674	1715	1722	1545	1645	1509	1500	1422	1315	1231	1191	1042	1065	1011	1066	1097	1132	1255	1330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-7.5B	8192	expectation	5501	5316	5202	5665	5795	6002	5751	5867	5764	5591	5284	5060	5186	5311	5300	5362	5240	5320	5155	5161	5040	4973	4824	4739	4582	4582	4608	4638	4705	4680	4977	4874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	40	expectation	27	23	24	26	25	21	27	19	14	15	16	16	12	13	11	13	11	10	10	11	11	13	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	204	expectation	172	161	88	91	99	113	129	100	92	79	80	84	76	74	81	72	71	81	63	57	55	60	84	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	409	expectation	314	317	164	162	193	226	242	218	208	201	168	185	169	176	174	170	152	179	143	118	118	133	180	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	614	expectation	479	435	263	279	289	349	369	340	354	350	304	289	287	276	286	277	252	276	218	196	207	228	303	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	819	expectation	659	582	406	427	418	481	503	452	491	490	424	425	414	392	406	370	375	404	334	288	304	329	429	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	2048	expectation	1294	1484	1556	1574	1442	1301	1300	1273	1280	1281	1297	1277	1296	1243	1236	1179	1182	1226	1213	1182	1204	1252	1372	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	40	activation	30	27	35	32	28	25	28	25	18	17	18	22	16	14	12	14	12	7	10	9	8	10	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	204	activation	185	181	102	88	104	116	131	106	99	82	86	94	80	82	94	74	81	91	71	63	50	57	66	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-564M	409	activation	336	340	189	175	195	235	248	214	215	200	194	201	178	184	199	181	169	190	154	126	117	130	158	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
